time,RPM dup 1,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Gear,RPM dup 2,TPS
2.160,0.000000,-0.047231,0.080570,-1.009700,3.059998,2.706778,3.948559,0.000000,449.009644,0.951736
2.170,0.000000,-0.038222,0.075996,-0.999446,2.970099,2.950956,3.948559,0.000000,446.200012,1.105241
2.180,0.000000,-0.030714,0.072484,-0.991732,2.909235,3.149484,3.924592,0.000000,443.390411,1.258747
2.190,0.000000,-0.029213,0.073223,-0.994180,2.964506,3.165409,3.804760,0.000000,440.580780,1.412253
2.200,0.000000,-0.028512,0.075656,-0.994914,3.015648,3.154262,3.694643,0.000000,438.503693,1.513237
2.210,0.000000,-0.031014,0.084864,-0.988794,3.050276,3.034826,3.623391,0.000000,439.356598,1.404135
2.220,0.000000,-0.032516,0.093623,-0.987467,3.095158,2.907163,3.541451,0.000000,440.209503,1.295033
2.230,0.000000,-0.030013,0.100580,-1.005310,3.181061,2.746589,3.416760,0.000000,441.062439,1.185931
2.240,0.000000,-0.026215,0.105467,-1.018312,3.263634,2.653165,3.321218,0.000000,441.915344,1.076829
2.250,0.000000,-0.017234,0.102073,-1.011947,3.332889,2.828336,3.342269,0.000000,442.768280,0.967727
2.260,0.000000,-0.012546,0.097943,-1.001388,3.371246,2.972455,3.359111,0.000000,443.621185,0.858625
2.270,0.000000,-0.025031,0.090872,-0.974051,3.286009,2.992361,3.359111,0.000000,444.474091,0.749523
2.280,0.000000,-0.032421,0.084872,-0.957649,3.213957,2.969270,3.362026,0.000000,445.327026,0.640421
2.290,0.000000,-0.019436,0.083157,-0.984986,3.194645,2.774192,3.376600,0.000000,446.179932,0.531319
2.300,0.000000,-0.008547,0.082482,-1.012518,3.197176,2.664046,3.374009,0.000000,446.233459,0.435157
2.310,0.000000,-0.006045,0.085965,-1.040834,3.287074,2.893627,3.302757,0.000000,443.089355,0.390753
2.320,0.000000,-0.003542,0.089432,-1.058215,3.372977,3.080477,3.228914,0.000000,439.945282,0.346349
2.330,0.000000,-0.001040,0.092840,-1.031858,3.442898,3.096402,3.144707,0.000000,436.801178,0.301946
2.340,0.000000,0.000762,0.095179,-1.012627,3.512686,3.109142,3.052403,0.000000,433.657074,0.257542
2.350,0.000000,-0.000239,0.093243,-1.021903,3.581941,3.109142,2.927712,0.000000,430.513000,0.213138
2.360,0.000000,-0.002636,0.090281,-1.022583,3.581408,3.081008,2.820834,0.000000,427.368896,0.168734
2.370,0.000000,-0.010616,0.083218,-0.988881,3.301724,2.940340,2.785208,0.000000,424.224823,0.124331
2.380,0.000000,-0.015905,0.077249,-0.965342,3.052939,2.834706,2.746667,0.000000,421.080719,0.079927
2.390,0.000000,-0.010427,0.075653,-0.982451,2.927747,2.869210,2.696467,0.000000,417.936615,0.035523
2.400,0.000000,-0.007190,0.076055,-0.998091,2.936671,2.902386,2.671853,0.000000,415.060120,0.000000
2.410,0.000000,-0.012918,0.084453,-1.007856,3.482054,2.930254,2.749582,0.000000,413.253937,0.000000
2.420,0.000000,-0.017150,0.091993,-1.016011,3.904376,2.959715,2.815329,0.000000,411.447754,0.000000
2.430,0.000000,-0.015399,0.096100,-1.017725,3.834455,2.995545,2.833142,0.000000,409.641571,0.000000
2.440,0.000000,-0.013747,0.098017,-1.018410,3.722581,3.036154,2.836704,0.000000,407.835388,0.000000
2.450,0.000000,-0.012496,0.091172,-1.014983,3.442898,3.095871,2.783265,0.000000,406.029236,0.000000
