"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"108.600","0.913","32.800640","14.287701","-0.027529","1.183920","-0.923829","12.081952","-1.658419","-50.904148","70.262054","46.793316","51.998856","50.281292","50.313042","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","14.999222","16.339207","8.939541","8.528816","50.000000","50.000000","100.000000","50.000000","3.377881","57.030720","0.022250","351.899811","356.299988","43.899872","1.499539","172.146729","303.534576","357.099976","352.590515","4460.594727","10.439979","25.000000","0.689207","3.223347","0.098000","102.000000","1.947772","0.002840","82.000000","25.966951","1.942170","1.992188","100.000000","29.999985","14.160558","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","36.817001","14.000000","-0.926591","-0.322880","0.717893","-68.391151","-53.269127","686.361084","0.750000","0.138200","47.221563005373","14.762765829804","688.00"
"108.700","0.914","32.794689","14.275509","-0.489707","0.956414","-1.105916","10.893909","-6.391563","-47.035263","69.449821","48.574501","50.474327","50.281235","50.312550","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","18.000000","19.728977","13.458665","13.339735","50.000000","50.000000","100.000000","50.000000","1.371541","63.120026","0.024000","351.899811","356.299988","40.479065","0.569895","215.576706","628.203491","357.099976","352.560638","4432.705078","14.843579","25.000000","0.745833","3.848509","0.098000","102.000000","1.649511","0.002971","82.000000","29.127081","1.908259","1.955346","100.000000","29.999985","14.046454","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","35.699001","14.000000","-1.067624","-0.084126","0.700245","-71.870499","-62.369068","686.375549","0.750000","0.140000","47.221566123238","14.762753597087","688.02"
"108.800","0.915","32.788738","14.263317","-0.330926","0.889862","-0.998348","8.680799","6.678053","-39.723000","83.899490","48.723812","46.748989","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","21.729650","24.069330","14.599832","15.659876","50.000000","50.000000","100.000000","50.000000","2.169776","129.563004","0.011500","351.929901","356.299988","41.287731","0.353875","484.325989","639.061951","357.099976","352.599884","4391.599121","19.416725","25.000000","0.771831","4.205681","0.098000","102.000000","1.374400","0.003072","82.000000","28.899813","1.941357","1.553446","100.000000","29.999985","14.036691","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","35.964001","14.000000","-1.021513","0.180082","0.667931","-76.373833","-57.856453","686.384949","0.750000","0.140000","47.221568355091","14.762740762779","688.03"
"108.900","0.916","32.782787","14.251125","-0.542130","0.897047","-1.071106","8.283974","-0.111128","-46.577599","80.349716","48.030365","49.999237","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","22.000000","23.999313","18.139023","18.089767","50.000000","50.000000","100.000000","50.000000","2.434448","106.310143","0.016000","351.999847","356.299988","42.391296","0.543740","544.593262","186.262802","357.099976","352.599884","4582.249512","21.992767","25.000000","0.792317","4.350196","0.098000","102.000000","1.531921","0.003147","82.000000","31.761778","1.913228","1.219464","100.000000","29.999985","14.216428","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","37.091999","14.000000","-0.981674","0.271219","0.570986","-81.646759","-52.689980","686.375427","0.750000","0.121800","47.221569820350","14.762727255456","688.02"
"109.000","0.917","32.786640","14.248693","-0.455440","0.989775","-1.092650","9.414834","2.656374","-49.656078","88.124214","48.661709","50.524223","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","22.000000","23.999313","19.268763","19.268505","50.000000","50.000000","100.000000","50.000000","2.499840","143.268127","0.007750","351.999847","356.299988","70.855904","0.341776","647.531860","56.006527","357.099976","352.599884","4794.362305","21.827374","25.000000","0.818849","3.817695","0.098000","102.000000","1.910698","0.003204","82.000000","32.709656","1.991901","0.961816","100.000000","29.999985","14.344252","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","38.110001","14.000000","-1.066445","0.251194","0.499137","-87.414268","-55.420925","686.348694","0.750000","0.101800","47.221570485571","14.762713226725","687.99"
"109.100","0.918","32.791458","14.247226","-0.579308","1.160586","-1.065970","10.833016","0.747970","-51.858936","85.686913","47.811092","48.524223","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","21.929960","23.269192","18.338976","20.059830","50.000000","50.000000","100.000000","50.000000","1.346932","82.218300","0.018667","351.999847","356.299988","77.560593","0.245941","499.989899","355.655365","357.099976","352.599884","4834.187012","22.178684","25.000000","0.803108","3.559391","0.098000","102.000000","2.259044","0.003199","82.000000","34.748962","1.999992","0.951070","100.000000","29.999985","14.001507","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","38.745998","14.000000","-1.183036","0.270595","0.545089","-93.380478","-60.137058","686.340271","0.740900","0.100000","47.221570187357","14.762698878374","687.98"
"109.200","0.919","32.796280","14.245759","-0.504948","1.153806","-1.034827","10.344852","6.795218","-46.198975","98.324631","47.793087","47.143055","50.281235","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","22.000000","23.999313","19.068810","20.319225","50.000000","50.000000","100.000000","50.000000","0.938820","118.487999","0.012250","351.999847","356.299988","78.219025","0.089912","68.990997","622.774475","357.099976","352.599884","4929.364258","22.474022","25.000000","0.791012","3.547545","0.098000","102.000000","2.404066","0.003198","82.000000","34.648640","1.989078","0.943365","100.000000","29.999985","13.980315","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","39.983002","14.000000","-1.207624","0.323231","0.675379","-99.351730","-59.383499","686.365051","0.740000","0.118200","47.221568793952","14.762684291500","688.01"
"109.300","0.920","32.801102","14.244291","-0.617274","1.138638","-1.038185","10.992880","-0.256609","-52.368801","98.324631","47.811092","49.999237","50.281235","50.284611","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","21.929960","22.999542","19.728659","20.588877","50.000000","50.000000","100.000000","50.000000","1.289802","119.387550","0.012375","351.999847","356.299988","82.625870","0.129572","420.806366","491.169464","357.048950","352.691772","5076.370117","21.834303","25.000000","0.783355","3.451937","0.098000","102.000000","2.511273","0.003151","82.000000","35.420162","1.913432","0.940956","100.000000","29.999985","14.054059","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","41.101002","14.000000","-1.180003","0.306183","0.833745","-105.228096","-55.637047","686.397461","0.740000","0.120000","47.221566327939","14.762669579806","688.04"
"109.400","0.922","32.805920","14.242825","-0.496184","1.280486","-1.059292","8.992851","7.517310","-50.808159","88.699654","47.718014","49.218281","50.281235","50.281281","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","20.999222","22.999542","18.998825","19.609613","50.000000","50.000000","100.000000","50.000000","1.235485","131.224243","0.010500","351.999847","356.299988","85.211540","0.029619","547.554688","583.683899","357.009308","352.699921","5239.302246","22.187870","25.000000","0.773590","3.428140","0.098000","102.000000","2.597360","0.003127","82.000000","35.678757","1.940064","1.062964","100.000000","29.999985","13.927932","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","42.110001","14.000000","-1.231071","0.247747","0.999387","-110.980484","-56.967449","686.415344","0.740000","0.110900","47.221562796241","14.762654958209","688.06"
"109.500","0.923","32.810741","14.241358","-0.690063","1.273790","-1.108746","16.048067","-7.574647","-60.374981","86.312050","47.793087","47.999084","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","20.999222","22.999542","18.338976","20.789951","50.000000","50.000000","100.000000","50.000000","1.089467","144.514053","0.010500","351.999847","356.299988","83.464554","0.076508","153.682816","557.619019","356.999786","352.699921","5405.794922","21.804440","25.000000","0.756813","3.358919","0.098000","102.000000","2.680009","0.003125","82.000000","36.560490","1.903908","1.052497","100.000000","29.999985","13.928919","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","42.837002","14.000000","-1.342539","0.243343","1.144689","-116.471252","-61.910477","686.429810","0.740000","0.110000","47.221558127557","14.762640684761","688.07"
"109.600","0.924","32.815609","14.239876","-0.573559","1.175172","-1.028473","11.452517","10.117337","-42.902294","97.423523","47.871216","51.228809","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","27.939299","30.699062","18.378967","19.039232","50.000000","50.000000","100.000000","50.000000","0.815595","139.530365","0.011000","351.999847","356.299988","54.390919","0.039760","552.961487","316.560791","356.999786","352.832031","5437.027832","25.646814","25.000000","0.764168","4.101268","0.098000","102.000000","2.727352","0.003135","82.000000","34.880207","1.913926","1.032112","100.000000","29.999985","14.073366","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","43.911999","14.000000","-1.408151","0.290951","1.173394","-121.665115","-64.491302","686.459656","0.740000","0.119200","47.221552147633","14.762626848065","688.10"
"109.700","0.925","32.820431","14.238409","-0.797979","0.901683","-1.091997","12.820807","-5.428079","-37.642849","100.000000","48.440681","50.206760","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","35.139301","36.999542","32.618881","32.998856","50.000000","50.000000","100.000000","50.000000","0.735555","119.595657","0.014000","351.999847","356.299988","11.565448","0.000000","428.097412","637.252319","356.999786","352.875946","5494.010254","35.393059","25.000000","0.825347","4.878375","0.098000","102.000000","2.826642","0.003175","82.000000","35.677284","1.993204","1.068272","100.000000","29.999985","14.164814","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","44.919998","14.000000","-1.369555","0.350783","0.985005","-126.427994","-61.912537","686.501587","0.740000","0.138400","47.221544988078","14.762613908419","688.14"
"109.800","0.926","32.825249","14.236941","-0.585608","0.693305","-1.054794","9.474277","9.248890","-23.659058","100.000000","48.054932","51.088425","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","34.999222","36.999542","33.998566","34.859966","50.000000","50.000000","100.000000","50.000000","1.359471","130.346893","0.011584","351.999847","356.299988","23.094137","0.070484","303.233368","194.949585","356.999786","352.899963","5552.729004","38.775982","25.000000","0.855434","4.633048","0.098000","102.000000","2.892495","0.003216","82.000000","34.747482","1.992636","1.049998","100.000000","29.999985","14.127028","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","46.380001","14.000000","-1.178154","0.426573","0.678588","-130.949783","-52.142002","686.551086","0.740000","0.140000","47.221536713603","14.762601735740","688.19"
"109.900","0.928","32.830070","14.235475","-0.670515","0.356516","-0.931110","5.079441","3.567934","-25.391260","92.378349","49.159382","49.451439","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","34.999222","36.859509","32.518906","33.138889","50.000000","50.000000","100.000000","50.000000","0.763563","109.628296","0.014500","351.999847","356.299988","6.598469","0.000000","342.625183","333.385651","356.999786","352.899963","5827.920410","40.058903","25.000000","0.866862","4.350044","0.098000","102.000000","2.955174","0.003219","82.000000","35.432167","1.953349","0.904376","100.000000","29.999985","14.217514","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","47.788002","14.000000","-0.838767","0.490790","0.410902","-135.221298","-35.478558","686.590698","0.740000","0.140000","47.221527584459","14.762590016476","688.23"
"110.000","0.929","32.821133","14.242602","-0.559166","0.471963","-0.932717","-8.606705","14.989034","-19.025995","100.000000","48.592354","49.230183","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","34.758911","36.759853","33.758621","34.759029","50.000000","50.000000","100.000000","50.000000","0.499419","139.530365","0.011000","351.999847","356.299988","15.139688","0.000000","356.738525","590.198975","356.999786","352.899963","5845.778809","39.408436","25.000000","0.841469","4.213315","0.098000","102.000000","3.018020","0.003219","82.000000","35.655712","1.957808","0.905238","100.000000","29.999985","14.300970","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","49.832001","14.000000","-0.551513","0.495251","0.200053","-139.145828","-21.577227","686.612183","0.740000","0.140000","47.221517845951","14.762578327678","688.26"
"110.100","0.931","32.810997","14.250478","-0.621998","0.489277","-0.876762","-2.364285","1.222212","-31.954929","100.000000","48.379642","50.365452","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","54.859142","56.000000","49.939678","52.279377","50.000000","50.000000","100.000000","50.000000","2.099756","141.744659","0.011000","351.999847","356.299988","8.030999","0.000000","637.168335","642.319763","356.999786","352.899963","6363.946777","55.485100","25.000000","0.895126","5.148843","0.098000","102.000000","3.189592","0.003240","82.000000","36.591434","1.996672","0.942184","100.000000","29.999985","13.944680","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.288002","14.000000","-0.562985","0.452397","-0.027296","-142.630783","-21.120693","686.606018","0.740000","0.140000","47.221507563985","14.762566609052","688.25"
"110.200","0.932","32.800865","14.258353","-0.859838","0.716836","-1.086336","4.435038","-1.560961","-26.743477","100.000000","49.483788","49.862514","50.281235","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2352.989502","0.000000","0.000000","52.579300","53.579079","53.378891","54.278919","50.000000","50.000000","100.000000","50.000000","1.155679","89.693565","0.011000","351.999847","356.299988","4.982828","0.000000","485.654358","564.138611","356.999786","352.899963","6551.419434","60.513374","25.000000","0.918396","4.871552","0.098000","102.000000","3.463656","0.003256","82.000000","37.266449","1.991626","0.944003","100.000000","29.999985","13.930241","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","52.964001","13.080000","-0.826862","0.422876","-0.277564","-145.679367","-31.022322","686.577454","0.740000","0.140000","47.221496562103","14.762555275588","688.22"
